1,914
2,2221
3,2922
4,4063
5,5719
6,7068
7,8422
8,9419
9,9413
10,9505
1,936
2,2032
3,3231
4,4066
5,5685
6,6928
7,8442
8,9509
9,9709
10,10069
1,940
2,2352
3,2940
4,4188
5,5357
6,6834
7,8436
8,9052
9,9457
10,9228
1,922
2,2186
3,3098
4,4028
5,5831
6,7252
7,8332
8,9313
9,9595
10,9375
1,967
2,2305
3,3121
4,4057
5,5568
6,6955
7,8352
8,9798
9,9721
10,9512
1,934
2,2199
3,3247
4,4152
5,5704
6,6892
7,8120
8,9364
9,9579
10,9744
1,875
2,2142
3,3149
4,4135
5,5725
6,6942
7,8291
8,9084
9,9380
10,9409
1,885
2,2198
3,3119
4,4070
5,5772
6,7051
7,8260
8,9304
9,9620
10,9412
1,900
2,2162
3,3149
4,4242
5,5694
6,6958
7,8139
8,9504
9,9217
10,9610
1,921
2,2097
3,3071
4,4052
5,5569
6,7028
7,8367
8,9561
9,9668
10,9598
